LONG,LAT,PREC
-8.968677,-48.177590,1.40
-16.362747,-45.128010,0.00
-17.745066,-49.106980,0.00
-17.304153,-48.281310,0.00
-14.016496,-52.216900,0.00
-15.789343,-47.927560,0.00
-19.539210,-49.511330,0.00
-11.745782,-49.047030,0.00
-19.695517,-51.187690,0.00
-14.469358,-48.487560,0.00
-16.784896,-47.619660,0.00
-18.200855,-45.458360,0.00
-13.251094,-43.403650,0.00
-16.686316,-43.847630,0.00
-18.409761,-49.190610,0.00
-15.220199,-48.991070,nan
-16.341587,-53.760890,9.80
-17.258064,-44.836000,0.00
-21.319138,-50.931580,0.00
-20.745237,-46.639160,0.00
-17.569319,-52.594830,0.00
-20.359760,-47.775200,0.00
-15.939729,-50.144330,0.00
-18.969142,-50.634490,0.00
-17.784770,-46.113940,0.00
-19.420320,-54.550880,0.00
-19.481935,-45.599320,0.00
-18.917072,-48.256570,0.00
-13.253520,-46.893260,0.00
-12.152394,-45.827450,0.00
-16.966841,-51.815670,0.00
-11.084858,-43.139980,0.00
-18.747711,-44.457850,0.00
-11.594448,-46.842090,0.00
-16.423059,-51.148000,0.00
-15.300159,-45.614310,0.00
-16.679786,-48.611710,0.00
-17.923622,-51.714670,0.00
-19.875271,-47.431020,0.00
-18.996684,-46.989350,0.00
-16.260542,-47.969620,0.00
-14.089210,-46.364970,0.00
-14.408228,-44.401230,0.00
-16.554101,-46.889350,0.00
-19.122471,-51.727320,0.00
-14.133074,-47.522580,0.00
-15.085958,-44.010360,0.00
-21.085675,-49.923880,0.00
-18.154779,-47.926140,0.00
-12.614893,-47.879170,0.00
-11.619023,-50.728560,9.80
-13.411105,-54.751440,0.00
-17.175051,-54.506900,0.00
-20.559175,-48.549970,0.00
-13.332386,-44.613760,0.00
-17.785303,-50.968690,0.00
-21.132937,-48.844260,0.00
-18.802187,-52.606200,0.00
-9.108199,-45.932160,0.00
-15.596491,-47.628000,0.00
-13.184857,-53.253660,32.00
-11.002768,-44.529650,0.00
-19.605696,-46.946170,0.00
-15.524262,-46.435360,0.00
-19.885398,-44.418830,0.00
-9.338611,-50.350800,35.60
-10.190744,-48.308110,0.00
-15.531431,-55.136490,41.80
-20.444440,-52.875300,0.00
-11.887377,-49.602150,0.00
-16.462419,-54.581510,0.20
-17.635277,-54.764700,0.40
-17.841011,-53.284740,0.00
-14.927883,-53.886430,3.00
-10.434440,-45.921400,0.00
-20.454930,-45.458250,0.00
-20.584475,-47.385490,0.00
-20.165025,-50.591340,0.00
-20.447195,-54.726150,0.00
-20.790000,-51.712200,0.00
-14.979792,-49.539770,0.20
-12.124715,-45.020490,0.00
-9.875196,-45.345050,0.00
-16.642841,-49.222220,0.00
-18.231052,-43.642690,0.00
-19.985860,-48.155740,0.00
-18.512146,-54.731160,0.80
-10.639518,-51.574560,12.80
-18.492665,-53.172610,0.20
-16.962536,-50.424500,0.00
-9.576389,-49.723300,0.20
-15.902658,-52.241720,0.00